country,isaSID
Afghanistan,
Albania,
Algeria,
American Samoa,SIDS
Andorra,
Angola,
Anguilla,SIDS
Antigua and Barbuda,SIDS
Argentina,
Armenia,
Aruba,SIDS
Australia,
Austria,
Azerbaijan,
Bahamas,SIDS
Bahrain,SIDS
Bangladesh,
Barbados,SIDS
Belarus,
Belgium,
Belize,SIDS
Benin,
Bermuda,SIDS
Bhutan,
Bolivia (Plurinational State of),
Bosnia and Herzegovina,
Botswana,
Brazil,
British Virgin Islands,SIDS
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cabo Verde,SIDS
Cambodia,
Cameroon,
Canada,
Cayman Islands,SIDS
Central African Republic,
Chad,
Chile,
China,
"China, Hong Kong Special Administrative Region",
"China, Macao Special Administrative Region",
Colombia,
Comoros,SIDS
Congo,
Costa Rica,
Cote d'Ivoire,
Croatia,
Cuba,SIDS
Cyprus,
Czech Republic,
Democratic People's Republic of Korea,
Democratic Republic of the Congo,0
Denmark,
Djibouti,
Dominica,SIDS
Dominican Republic,SIDS
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Ethiopia,
Faeroe Islands,
Falkland Islands (Malvinas),
Fiji,SIDS
Finland,
France,
French Guiana,
French Polynesia,SIDS
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Gibraltar,
Greece,
Grenada,SIDS
Guadeloupe,SIDS
Guatemala,
Guinea,
Guinea-Bissau,SIDS
Guyana,SIDS
Haiti,SIDS
Honduras,
Hungary,
Iceland,
India,
Indonesia,
Iran (Islamic Republic of),
Iraq,
Ireland,
Israel,
Italy,
Jamaica,SIDS
Japan,
Jordan,
Kazakhstan,
Kenya,
Kiribati,SIDS
Kuwait,
Kyrgyzstan,
Lao People's Democratic Republic,
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Madagascar,
Malawi,
Malaysia,
Maldives,SIDS
Mali,
Malta,
Marshall Islands,SIDS
Martinique,SIDS
Mauritania,
Mauritius,SIDS
Mayotte,
Mexico,
Micronesia (Federated States of),SIDS
Monaco,
Mongolia,
Montenegro,
Montserrat,SIDS
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,
New Caledonia,SIDS
New Zealand,
Nicaragua,
Niger,
Nigeria,
Norway,
Oman,
Pakistan,
Palau,SIDS
Panama,
Papua New Guinea,SIDS
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Puerto Rico,SIDS
Qatar,
Republic of Korea,
Republic of Moldova,
R̩union,
Romania,
Russian Federation,
Rwanda,
Saint Kitts and Nevis,SIDS
Saint Lucia,SIDS
Saint Vincent and the Grenadines,SIDS
San Marino,
Sao Tome and Principe,SIDS
Saudi Arabia,
Senegal,
Serbia,
Seychelles,SIDS
Sierra Leone,
Singapore,SIDS
Slovakia,
Slovenia,
Solomon Islands,SIDS
Somalia,
South Africa,
South Sudan,
Spain,
Sri Lanka,
State of Palestine,
Sudan,
Suriname,SIDS
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic,
Taiwan,
Tajikistan,
Thailand,
The former Yugoslav Republic of Macedonia,
Timor-Leste,SIDS
Togo,
Tonga,SIDS
Trinidad and Tobago,SIDS
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,SIDS
Tuvalu,SIDS
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,
United States of America,
United States Virgin Islands,SIDS
Uruguay,
Uzbekistan,
Vanuatu,SIDS
Venezuela (Bolivarian Republic of),
Viet Nam,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
