country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,share1_orig,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Afghanistan,1802.695566,1739.583177,34656032,,,0.27132,561.7787463,0.02233598,0.04460866,0.111074297,0.043162523
Albania,11359.1704,11424.62832,2876101,0.089,0.089,0.58376,4146.89625,0.04461803,0.09645449,0.243888298,0.168005653
Algeria,13921.18002,13974.66622,40606052,0.094,0.094,0.71304,3843.752322,0.1018003,0.1647805,,
American Samoa,,,55599,,,0.87148,11541.85498,,,,
Andorra,,,77281,,,0.84612,40215.43532,,,,
Angola,5984.640422,6024.726138,28813463,0.054,0.054,0.44819,3110.808183,0.0402588,0.2220807,,
Antigua and Barbuda,21013.01763,20777.61308,100963,0.0103,0.0103,0.23393,14353.37881,0.153,0.153,,
Arab World,15506.22982,15533.69477,406452690,,,0.580939286,6153.069547,,,,
Argentina,18489.43489,10405,43847430,0.05,0.048,0.91893,12449.21685,0.01099222,0.06069045,0.200153446,0.145651065
Armenia,8190.239289,8174.366732,2924816,0.079,0.082,0.62558,3606.152057,0.004417139,0.02506004,0.733632664,0.317179551
Aruba,,35973.78051,104822,,,0.41304,25324.72036,,,,
Australia,44260.57597,44414.02948,24127159,0.073,0.073,0.89554,49927.81951,0.4856016,0.702807,,
Austria,44438.72482,44143.70016,8747358,0.079,0.081,0.66032,44176.51522,0.4861395,0.6850328,,
Azerbaijan,16001.3234,15994.00974,9762274,0.084,0.084,0.54895,3876.936433,0.04266026,0.06077156,0.857128962,0.386053296
"Bahamas, The",20878.86949,21481.7261,391232,,,0.82951,23124.38655,,,,
Bahrain,,44507.82996,1425171,,,0.88835,22354.16707,0.2638231,0.4028472,,
Bangladesh,3319.353556,3319.353556,162951560,0.086,0.089,0.35035,1358.779752,0.03864263,0.09956344,0.063258356,0.145820582
Barbados,16750.52593,15588.26899,284996,,,0.31415,16096.89259,,,,
Belarus,16752.09877,16742.2555,9507120,0.096,0.095,0.77046,4989.254611,0.07855246,0.1958292,0.713104557,0.385745929
Belgium,42094.57905,41945.69212,11348159,0.086,0.086,0.97897,41096.1573,0.4867135,0.6023575,,
Belize,7846.015832,7831.454486,366954,0.0321,0.0321,0.43845,4810.565902,0.1267646,0.2864756,0.42036753,0.112876376
Benin,2009.961384,2009.961384,10872298,0.032,0.032,0.44395,789.4404107,0.0402082,0.09291302,0.047258796,0.074529866
Bermuda,,50669.31477,65331,,,1,85748.06541,,,,
Bhutan,8253.293783,8105.796967,797765,0.067,0.067,0.39377,2804.000223,0.1739075,0.2584666,0.024656816,0.018314412
Bolivia,6707.956184,6707.956184,10887882,0.039,0.038,0.68911,3104.956089,0.1129292,0.3135603,0.410258289,0.129052762
Bosnia and Herzegovina,11327.48741,11179.34991,3516816,0.077,0.073,0.3994,4708.718261,0.05371241,0.1112821,0.222205844,0.125427609
Botswana,15723.23706,15513.44193,2250260,0.028,0.028,0.5771,6788.042745,0.1474994,0.3458668,0.232788815,0.043776538
Brazil,14023.69162,14023.69162,207652865,0.036,0.036,0.85933,8649.948492,0.05749141,0.1676081,0.169181,0.198451979
British Virgin Islands,,,30661,,,0.46502,,,,,
Brunei Darussalam,71788.78323,71788.78339,423196,,,0.77505,26938.50338,,,,
Bulgaria,17794.52661,17709.07519,7127822,0.06,0.06,0.74266,7350.795801,0.05927353,0.199541,0.514387102,0.23240493
Burkina Faso,1642.185834,1594.576777,18646433,0.083,0.083,0.30688,649.7304837,0.05447056,0.1090839,0.023899101,0.02700967
Burundi,721.1765615,721.1765615,10524117,0.069,0.066,0.12359,285.7274421,0.01814623,0.05378873,,
Cabo Verde,6074.754548,6074.754548,539560,0.05,0.05,0.66187,2997.75268,,,0.112156293,0.088506355
Cambodia,3465.125565,3462.840949,15762370,,,0.20945,1269.907238,0.02697189,0.04235721,0.041138933,0.035798501
Cameroon,3346.817793,3045.919165,23439189,0.045,0.045,0.54938,1032.648722,0.01092981,0.1220212,0.005311107,0.006374285
Canada,43113.68397,43087.75737,36286425,0.066,0.066,0.82006,42157.92799,0.5176056,0.6994052,,
Caribbean small states,14252.52457,13980.21597,7245472,,,0.425704966,8769.641649,,,,
Cayman Islands,,49903.02854,60765,,,1,64100.9077,,,,
Central African Republic,647.8804448,647.8804448,4594621,0.033,0.033,0.40332,382.2131743,0.006212666,0.03726327,0.007497377,0.005769143
Central Europe and the Baltics,25227.08122,25144.0022,102974082,,,0.624583861,12657.3868,,,,
Chad,1845.914679,1845.914679,14452543,0.049,0.049,0.22618,664.2956519,0.0267359,0.05942366,0.025863877,0.030144382
Channel Islands,,,164541,,,0.31577,73569.64496,,,,
Chile,22706.72054,22706.72054,17909754,0.048,0.048,0.89697,13792.92605,0.1033565,0.1811644,0.276678211,0.142813664
China,14399.44766,14400.88606,1378665000,0.052,0.052,0.56778,8123.180873,0.305054,0.4840392,,
Colombia,13124.32484,13124.32484,48653419,0.039,0.036,0.76708,5805.605335,0.05714529,0.1673623,0.122694299,0.087327565
Comoros,1411.152339,1411.152339,795601,0.045,0.045,0.28412,775.0800847,0.03531137,0.1475529,0.036605229,0.026937872
"Congo, Dem. Rep.",743.8943424,742.3079049,78736153,0.055,0.055,0.43015,444.5053168,0.02017935,0.06591558,0.053450555,0.078477347
"Congo, Rep.",5301.395941,5301.397271,5125821,0.042,0.042,0.65798,1528.24483,0.04429218,0.1345048,0.17196905,0.139402639
Costa Rica,15401.4925,15401.4925,4857274,0.042,0.043,0.77675,11824.6381,0.1604869,0.2962873,0.256047686,0.163150065
Cote d'Ivoire,3424.76421,3448.144013,23695919,0.057,0.057,0.54869,1526.197175,0.02885922,0.1283048,,
Croatia,21527.96767,21408.55151,4170600,0.073,0.071,0.59284,12090.66656,0.2455249,0.292387,0.391203032,0.268229719
Cuba,,,11475982,,,0.77184,7602.261218,,,,
Curacao,,,159999,,,0.89241,,,,,
Cyprus,31331.393,31195.50622,1170125,0.079,0.076,0.6684,23324.20174,0.1559048,0.2639375,,
Czech Republic,31338.87521,31071.74837,10561633,0.097,0.097,0.7298,18266.54969,0.3099159,0.4227365,,
Denmark,45991.22478,45686.48453,5731118,0.094,0.091,0.87847,53417.66428,0.5787514,0.6937743,,
Djibouti,,3139.273535,942333,0.049,0.049,0.7743,1862.167274,0.01797438,0.04367659,0.285870135,0.085651804
Dominica,10151.34252,10174.03854,73543,0.038,0.038,0.6982,7144.454673,0.44,0.44,0.581534331,0.083032012
Dominican Republic,14098.87587,14098.87587,10648791,0.049,0.051,0.79841,6722.223536,0.1601563,0.3398572,0.216707373,0.118282196
Early-demographic dividend,8545.533351,8510.798312,3170542188,,,0.445769965,3240.724515,,,,
East Asia & Pacific,15774.78291,15784.19907,2296786207,,,0.575222714,9786.468143,,,,
East Asia & Pacific (IDA & IBRD countries),12833.20398,12978.18035,2026028438,,,0.538190624,6655.845797,,,,
East Asia & Pacific (excluding high income),12969.19523,12841.9575,2051431154,,,0.539090064,6586.077744,,,,
Ecuador,10424.26415,10462.44133,16385068,0.047,0.045,0.63976,5968.984138,0.09100455,0.1761092,0.276996774,0.183420493
"Egypt, Arab Rep.",10319.25693,10319.25693,95688681,0.091,0.091,0.43222,3514.490097,0.02068763,0.05446997,0.10013164,0.119279265
El Salvador,7989.997256,7989.997256,6344722,0.059,0.061,0.67189,4223.584579,0.0411891,0.2072156,0.169360468,0.198080826
Equatorial Guinea,24162.52753,23671.40047,1221490,,,0.40103,8333.238263,,,,
Eritrea,,1510.458929,4474690,,,0.20954,582.7755302,,,,
Estonia,28109.81704,27735.13851,1316481,0.075,0.07,0.67468,17574.68736,0.2434072,0.3648965,,
Ethiopia,1608.293476,1608.293476,102403196,0.066,0.08,0.19922,706.7577541,0.09488185,0.1639884,,
Euro area,38349.53272,38234.81441,340894606,,,0.761427097,34866.09607,0.3759064,0.5452209,,
Europe & Central Asia,29166.6626,29007.94597,911995305,,,0.710606161,22108.51128,,,,
Europe & Central Asia (IDA & IBRD countries),18679.2603,19146.72129,455372659,,,0.647973419,7573.197663,,,,
Europe & Central Asia (excluding high income),19292.66431,18523.41673,417424643,,,0.651868894,7136.901298,,,,
European Union,36339.57363,36198.34654,511497415,,,0.750256293,32058.77358,,,,
Faroe Islands,,,49117,,,0.42187,53612.71345,,,,
Fiji,8447.264216,8862.740443,898760,0.076,0.076,0.54099,5153.351544,0.6,0.6,0.193288705,0.126347367
Finland,39521.5602,39422.64698,5495096,0.094,0.094,0.84358,43090.24751,0.4324643,0.6640017,,
Fragile and conflict affected situations,3941.603929,3937.004562,505635987,,,0.413226529,1471.014651,,,,
France,38061.09426,38058.87305,66896109,0.079,0.08,0.7975,36854.96828,0.4053758,0.5990517,,
French Polynesia,,,280208,,,0.55802,14530.7772,,,,
Gabon,16786.00072,16785.99801,1979786,0.058,0.058,0.87366,7179.340661,0.08577912,0.2428994,0.219197845,0.120516714
"Gambia, The",1554.884136,1565.796705,2038501,0.074,0.048,0.60224,473.1904363,,,,
Georgia,9276.766243,9267.299004,3719300,0.067,0.061,0.53826,3853.649904,0.01164885,0.008063393,0.983201178,0.542810893
Germany,44356.85773,44072.39216,82667685,0.078,0.081,0.7551,41936.05858,0.5265064,0.6140809,,
Ghana,3980.202106,3980.202106,28206728,0.054,0.054,0.54682,1513.461034,0.1174127,0.2321198,0.625703454,0.147381981
Gibraltar,,,34408,,,1,,,,,
Greece,24223.99229,24263.87813,10746740,0.059,0.059,0.78329,18103.96932,0.0654293,0.16323,,
Greenland,,,56186,,,0.86808,39569.10579,,,,
Grenada,13167.05216,12910.99055,107317,,,0.35616,9469.219181,,,,
Guam,,,162896,,,0.94593,35439.47045,,,,
Guatemala,7366.76848,7366.76848,16582469,0.045,0.044,0.5203,4146.744129,0.06985804,0.2047981,0.11104015,0.036367663
Guinea,1823.338788,1215.025377,12395924,0.076,0.076,0.37651,508.1450784,0.005424729,0.0443864,,
Guinea-Bissau,1491.681953,1466.267695,1815698,0.045,0.045,0.50094,620.2147647,0.0002,0.0002,,
Guyana,7266.335285,7248.230183,773303,0.045,0.045,0.28661,4456.553697,0.68,0.68,,
Haiti,1653.961848,1653.961848,10847334,0.055,0.056,0.59794,739.5954363,0.04369855,0.1275524,0.010298066,0.014338184
Heavily indebted poor countries (HIPC),2105.055137,2082.482972,744602976,,,0.350732544,861.5101555,,,,
High income,43342.48086,43233.14956,1190029421,,,0.814149856,40677.68352,0.3640571,0.5378352,,
Honduras,4392.265947,4392.265947,9112867,0.032,0.036,0.55315,2361.15762,0.06635398,0.1964441,0.257948566,0.134980002
"Hong Kong SAR, China",54353.90743,54279.18347,7346700,,,1,43681.14058,0.3451638,0.6087457,,
Hungary,25664.136,25381.28792,9817958,0.078,0.076,0.71672,12664.84744,0.1423596,0.2304348,0.801483887,0.397449838
Iceland,45116.23121,45276.44855,334252,0.097,0.097,0.9423,59976.94257,,,,
India,6092.648097,6092.648097,1324171354,0.083,0.083,0.33136,1709.387921,0.07480032,0.1883363,,
Indonesia,10764.548,10764.548,261115456,0.072,0.072,0.54466,3570.294888,0.1379658,0.3511817,,
"Iran, Islamic Rep.",18497.67701,16010.11144,80277428,0.063,0.063,0.73879,4957.581276,0.1516682,0.2603003,,
Iraq,16086.91806,16086.91806,37202572,0.088,0.088,0.69592,4609.600694,0.0331376,0.03651581,0.129552458,0.112473861
Ireland,63301.15414,62828.33917,4773095,0.079,0.079,0.63535,61606.48294,0.4005193,0.5566727,,
Isle of Man,,,83737,,,0.52281,89941.64429,,,,
Israel,32688.4081,32612.68858,8547100,0.047,0.047,0.92205,37292.61222,0.4204639,0.6097891,,
Italy,34699.86736,34620.12936,60600590,0.062,0.062,0.69116,30527.2682,0.2017134,0.4406689,,
Jamaica,8179.62034,8190.000905,2881355,0.053,0.053,0.5503,4868.248263,0.2147204,0.3520919,0.266518589,0.147431475
Japan,38252.30114,38239.77129,126994511,0.074,0.074,0.93928,38894.46773,0.5732915,0.6250877,,
Jordan,8389.604574,8389.543336,9455802,0.082,0.082,0.83905,4087.937517,0.01797048,0.05062747,0.247541251,0.202549227
Kazakhstan,23446.56506,23419.90558,17797032,0.1,0.1,0.53229,7510.077209,0.02605716,0.1153157,0.065644645,0.047124265
Kenya,2925.600917,2925.600917,48461567,0.047,0.047,0.26055,1455.359765,0.1333483,0.4164474,0.054868519,0.071834484
Kiribati,1955.155323,1897.812347,114395,0.066,0.066,0.44447,1449.058231,0,0,0.090930711,0.087785669
"Korea, Dem. People's Rep.",,,25368620,,,0.61048,,,,,
"Korea, Rep.",34985.84933,34985.84933,51245707,0.073,0.073,0.82592,27538.80613,0.3633893,0.6404362,,
Kosovo,9331.687718,9331.687718,1816200,0.095,0.094,,3661.429847,0.04933053,0.08574953,0.363187793,0.16831024
Kuwait,68861.7921,69329.41296,4052584,,,0.98358,28975.40108,0.198661,0.2927087,,
Kyrgyz Republic,3293.700997,3291.968243,6082700,0.1,0.095,0.3585,1077.036174,0.03731649,0.0561118,0.349181831,0.267171014
Lao PDR,6073.223695,5734.586572,6758353,0.076,0.076,0.39654,2353.152875,0.1325088,0.2385275,0.037284318,0.133475822
Late-demographic dividend,15590.77502,15583.72708,2262709895,,,0.606980767,8144.64578,,,,
Latin America & Caribbean,14314.94806,14364.65785,637664490,,,0.800803735,8156.590738,,,,
Latin America & Caribbean (excluding high income),13844.34933,13890.78867,610136397,,,0.798302577,7803.427624,,,,
Latin America & the Caribbean (IDA & IBRD countries),14238.78596,14281.96901,621534921,,,0.800796907,8044.149284,,,,
Latvia,23728.51364,23712.09078,1960424,0.071,0.066,0.67361,14118.06391,0.185183,0.2983719,0.581704539,0.238391554
Least developed countries: UN classification,2431.377991,2422.265819,979387925,,,0.320890515,960.0742711,,,,
Lebanon,13267.8857,12974.16545,6006668,0.079,0.078,0.87914,7914.004677,0.06085023,0.2486327,,
Lesotho,2736.354895,2808.23633,2203821,0.028,0.028,0.2784,998.1343716,0.02873374,0.1136827,,
Liberia,753.557379,753.557379,4613823,0.077,0.078,0.501,455.3707414,0.0449625,0.2007491,0.045037934,0.13130819
Libya,,11192.79064,6293253,,,0.78754,5602.549434,,,,
Liechtenstein,,,37666,,,0.14283,179478.5848,,,,
Lithuania,27943.81512,27904.09625,2872298,0.061,0.06,0.66512,14879.6803,0.167361,0.3604111,0.76013985,0.207390385
Low & middle income,9713.675881,9685.70717,6252106157,,,0.492372751,4334.007644,0.1481179,0.2765928,,
Low income,1577.683236,1560.570639,659272676,,,0.311794184,615.0728017,0.05052696,0.1328835,,
Lower middle income,6306.897133,6312.471533,3012923806,,,0.396465737,2075.14175,0.07945868,0.1930553,,
Luxembourg,94920.95872,97018.66364,582972,0.079,0.079,0.90432,102831.3215,0.5098124,0.6614447,,
"Macao SAR, China",97751.78798,96565.88981,612167,,,1,73186.96014,,,,
"Macedonia, FYR",13054.89081,13054.77697,2081206,0.056,0.056,0.57204,5237.14767,0.07452801,0.1795803,,
Madagascar,1396.669615,1396.091734,24894551,0.057,0.057,0.35741,401.3188701,0.01404179,0.04567038,0.073079869,0.094149712
Malawi,1083.801421,1083.970196,18091575,0.055,0.054,0.16454,300.7948251,0.04726892,0.08640283,0.016992964,0.023681721
Malaysia,25668.88436,25660.45985,31187265,0.046,0.046,0.7537,9502.568396,0.255594,0.3924174,0.14714225,0.057730817
Maldives,14231.53413,12235.54647,417492,0.064,0.064,0.4654,8601.632488,0.55,0.55,0.031145208,0.016503814
Mali,1971.08448,1962.690874,17994837,0.08,0.08,0.40683,780.5071109,0.008713539,0.04243126,0.024631706,0.052997133
Malta,35705.09569,35694.04006,436947,0.086,,0.95529,25058.17061,0.2980542,0.5080592,,
Marshall Islands,3730.333989,3775.129589,53066,0.0107,0.0107,0.7294,3448.535786,0.05,0.05,,
Mauritania,3572.28055,3572.28055,4301018,0.075,0.076,0.60446,1077.556136,0.03751141,0.1524401,,
Mauritius,19567.48966,19548.63852,1263473,0.074,0.074,0.39548,9627.595785,0.2319739,0.4367753,0.399388542,0.328015384
Mexico,16832.46304,16831.12473,127540423,0.057,0.051,0.79517,8201.306253,0.07032508,0.1956048,0.51653154,0.264168721
"Micronesia, Fed. Sts.",3253.479755,3330.972662,104937,0.055,0.055,0.22481,3068.507771,0.197,0.197,0.491136762,0.133409778
Middle East & North Africa,18055.23317,17661.22959,436720722,,,0.645066381,7124.688573,,,,
Middle East & North Africa (IDA & IBRD countries),12155.84221,11477.39522,369167489,,,0.606421551,3946.376618,,,,
Middle East & North Africa (excluding high income),12252.88399,11415.84008,373719055,,,0.60822879,3933.950105,,,,
Middle income,10673.91433,10644.82816,5592833481,,,0.513665927,4781.420377,0.1608289,0.2950469,,
Moldova,4944.399693,4944.335661,3552000,0.1,0.097,0.45089,1900.201479,0.03550953,0.09047662,0.480448896,0.357766459
Monaco,,,38499,,,1,162009.8778,,,,
Mongolia,11361.00642,11328.47574,3027398,0.08,0.081,0.72823,3686.451698,0.2172667,0.4111103,0.432892154,0.214014776
Montenegro,15737.02113,15658.11321,622781,0.085,0.085,0.64223,6701.00008,0.02831399,0.07029512,0.326311678,0.334224191
Morocco,7285.908321,7265.847079,35276786,0.065,0.065,0.60685,2832.429777,0.05141593,0.1725484,,
Mozambique,1128.279294,1128.279294,28829476,0.042,0.052,0.32508,382.0693304,,,0.228646616,0.076909214
Myanmar,5305.047137,5351.554803,52885223,0.073,0.073,0.3465,1275.017608,0.06761485,0.1680227,,
Namibia,9852.035111,9812.408629,2479713,0.033,0.033,0.47625,4140.461932,0.1445373,0.3485483,,
Nauru,12950.52898,12950.52851,13049,,,1,7821.298918,,,,
Nepal,2297.652539,2287.723265,28982771,0.083,0.083,0.18995,729.5325011,0.08169342,0.2236811,0.195768864,0.292225716
Netherlands,47269.63295,47128.31079,17018408,0.087,0.088,0.91032,45294.78,0.485505,0.6671163,,
New Caledonia,,,278000,,,0.70738,12579.59511,,,,
New Zealand,35267.64328,35269.09615,4692700,,,0.86322,39426.6235,0.5940498,0.7801831,,
Nicaragua,5136.841574,5136.841574,6149928,0.051,0.05,0.59107,2151.382047,0.02887823,0.1150786,0.215024083,0.129087575
Niger,914.4670358,906.9925206,20672987,0.078,0.078,0.1901,363.2269739,0.01784597,0.02122553,0.059217096,0.061957771
Nigeria,5434.734795,5438.922711,185989640,0.054,0.054,0.48597,2177.98517,0.1970295,0.3224891,0.002057509,0.011572111
North America,52403.11179,52244.53313,359479269,,,0.818133151,55927.85589,,,,
Northern Mariana Islands,,,55023,,,0.89209,16819.9066,,,,
Norway,64139.54705,63810.78643,5232929,0.09,0.091,0.80734,70812.47742,0.7495815,0.8089857,,
OECD members,38835.03153,38724.79433,1289937319,,,0.80487436,36741.36108,,,,
Oman,,40138.95168,4424762,,,0.78088,14982.35792,0.145017,0.2770396,,
Other small states,23232.49766,23233.54034,29983809,,,0.588438713,11965.56091,,,,
Pacific island small states,5285.445798,5433.206836,2388875,,,0.380306049,3720.736631,,,,
Pakistan,4854.632259,4866.163456,193203476,0.092,0.092,0.39224,1468.192946,0.01694613,0.04381021,0.071182906,0.136776393
Palau,15119.37092,14251.22642,21503,,,0.87636,13626.00567,,,0.14801151,0.10637443
Panama,21334.93968,21334.93968,4034119,0.033,0.035,0.66895,13680.23601,0.1483164,0.2403679,0.194424715,0.114301584
Papua New Guinea,3878.287729,2620.882403,8084991,0.051,0.051,0.13039,2182.716565,0.1438,0.1438,0.004448387,0.001382248
Paraguay,8871.37954,8877.606645,6725308,0.045,0.041,0.59924,4080.204644,0.02127697,0.1477873,0.253358243,0.146549544
Peru,12071.59238,12071.59238,31773839,0.046,0.046,0.78924,6045.650077,0.05837516,0.1674962,0.170677893,0.20147589
Philippines,7236.467071,7236.467071,103320222,0.066,0.066,0.44289,2951.071929,0.04855937,0.2163384,0.188092726,0.228150124
Poland,26035.8379,26003.01339,37948016,0.081,0.08,0.60531,12372.41706,0.09776094,0.282444,0.576616542,0.394649898
Portugal,27102.6637,27006.87428,10324611,0.067,0.065,0.64017,19813.30825,0.160451,0.3085544,,
Post-demographic dividend,41401.9381,41278.94906,1102730983,,,0.812095135,40873.19473,,,,
Pre-demographic dividend,3500.515723,3483.252639,879292453,,,0.391021977,1358.75149,,,,
Puerto Rico,34995.49242,33843.62408,3411307,,,0.93569,28703.74835,0.1311623,0.3043711,,
Qatar,118207.1346,118215.3004,2569804,,,0.99317,59330.85999,0.181152,0.3209826,,
Romania,21614.68624,21647.80893,19705301,0.085,0.089,0.54749,9474.130604,0.05571223,0.1842659,0.44718513,0.406191777
Russian Federation,24416.62388,24026.00492,144342396,0.069,0.069,0.74101,8748.364504,0.1140624,0.1823601,0.291680601,0.209169665
Rwanda,1773.750484,1773.750484,11917508,0.052,0.052,0.29775,702.8356016,0.06397243,0.3914391,0.074514049,0.076781457
Samoa,5914.281291,5882.148619,195125,0.064,0.064,0.18955,4027.76137,,,0.227669873,0.145916988
San Marino,56500.46911,,33203,,,0.94216,62596.94756,,,,
Sao Tome and Principe,3001.894005,2993.382018,199910,0.084,0.084,0.65647,1756.06147,,,,
Saudi Arabia,50458.16985,50458.16985,32275687,,,0.83331,20028.64821,0.08897133,0.2052709,,
Senegal,2379.451264,2380.386917,15411614,0.061,0.061,0.44065,958.0737379,0.008773695,0.1060924,0.113677953,0.217717006
Serbia,13720.89089,13720.08723,7057412,0.09,0.086,0.55668,5348.294064,0.0419454,0.1149804,0.459366872,0.362485751
Seychelles,26319.15863,26319.15863,94677,0.054,0.054,0.54214,15075.71944,0.94,0.94,,
Sierra Leone,1368.829098,1365.865943,7396190,0.079,0.079,0.40318,496.0494634,0.03622707,0.1585936,0.024101506,0.030431464
Singapore,81443.35646,81443.35646,5607283,,,1,52960.71419,0.4292485,0.4872643,,
Sint Maarten (Dutch part),,36327.2319,40005,,,1,,,,,
Slovak Republic,29212.3782,29156.09391,5428704,0.085,0.084,0.53468,16495.98768,0.3311596,0.5120568,0.322288085,0.252300502
Slovenia,29930.03704,29803.44962,2064845,0.096,0.094,0.49627,21304.57016,0.2409204,0.3861343,,
Small states,20503.34481,20455.02431,39618156,,,0.546127664,10883.09281,,,,
Solomon Islands,2072.710578,2072.710578,599419,0.07,0.07,0.22779,2005.483643,0.26,0.26,0.057085696,0.067166426
Somalia,,,14317996,,,0.4003,434.2088097,0.003747235,0.04457126,,
South Africa,12236.83195,12260.16535,55908865,0.024,0.025,0.65295,5273.59388,0.2110501,0.4081099,0.732735956,0.154255498
South Asia,5623.111527,5621.095508,1766383450,,,0.33456442,1639.712259,0.0667721,0.1664882,,
South Asia (IDA & IBRD),5623.111527,5621.095508,1766383450,,,0.33456442,1639.712259,,,,
South Sudan,,1808.161714,12230730,0.039,0.039,0.1903,758.7205782,,,,
Spain,33320.03511,33261.07934,46443959,0.058,0.057,0.79802,26528.49179,0.3559562,0.5667167,,
Sri Lanka,11639.30965,11417.25646,21203000,0.07,0.071,0.18407,3835.394817,0.2143086,0.3952671,0.071179104,0.089486117
St. Kitts and Nevis,24463.61761,24738.28999,54821,,,0.32153,16725.27965,,,,
St. Lucia,12010.50151,10703.09575,178015,0.0523,0.0523,0.1854,7744.445173,0.35,0.35,,
St. Martin (French part),,,31949,,,,,,,,
St. Vincent and the Grenadines,10623.38552,10758.56312,109643,0.203,0.203,0.50899,7030.057145,0.206,0.206,,
Sub-Saharan Africa,3453.074932,3439.912495,1033106135,,,0.382677256,1449.997358,,,,
Sub-Saharan Africa (IDA & IBRD countries),3450.979115,3439.912495,1033106135,,,0.382677256,1449.997358,,,,
Sub-Saharan Africa (excluding high income),3453.074932,3437.815239,1033011458,,,0.382662641,1448.747819,,,,
Sudan,4386.352577,4385.046923,39578828,0.068,0.068,0.34007,2415.038162,0.03672906,0.1002178,,
Suriname,13877.98601,13113.85756,558368,,,0.66015,6484.432731,,,,
Swaziland,7723.641059,7733.808563,1343098,0.04,0.04,0.21315,2775.153908,0.09158991,0.2348936,,
Sweden,46568.17715,46441.20592,9903122,0.082,0.09,0.85964,51599.86887,0.6662128,0.8096492,,
Switzerland,57427.89254,56625.13501,8372098,0.078,0.079,0.7399,78812.65069,0.4604134,0.6177222,,
Syrian Arab Republic,,0,18430453,0.077,0.077,0.58061,2058.035209,0.04674114,0.05367074,0.044907746,0.122552925
Tajikistan,2762.585453,2762.585453,8734951,0.074,0.074,0.26891,795.8438644,0.006333107,0.02125592,,
Tanzania,2583.589673,2583.279039,55572201,0.074,0.074,0.32316,879.193814,0.04258187,0.1217031,0.145171981,0.07101361
Thailand,15683.03242,15681.81409,68863514,0.069,0.069,0.5154,5907.913432,0.3132831,0.4691411,0.303525562,0.269525356
Timor-Leste,1984.660767,2151.107055,1268671,0.094,0.091,0.33401,1161.760935,0.62,0.62,0.07893159,0.059062322
Togo,1382.109747,1382.109747,7606374,0.05,0.05,0.40463,578.4616936,0.03249362,0.08989002,,0.060840774
Tonga,5327.2672,5332.472445,107122,0.067,0.067,0.23801,3688.874636,0.008,0.008,0.033033719,
Trinidad and Tobago,30464.75917,29578.95639,1364962,0.049,0.049,0.08352,15377.09881,0.428774,0.4546623,,
Tunisia,10752.01683,10752.01683,11403248,0.067,0.067,0.67047,3688.646375,0.04612976,0.1407694,,
Turkey,23756.48429,23679.39639,79512426,0.057,0.058,0.73887,10787.60934,0.04858122,0.1221136,0.291433604,0.203954872
Turkmenistan,15648.37312,15648.37312,5662544,,,0.50396,6389.334143,0,0.01088831,,
Turks and Caicos Islands,,,34900,,,0.92502,,,,,
Tuvalu,3385.434222,3385.434222,11097,0.066,0.066,0.6062,3083.615251,,,,
Uganda,1687.082736,1713.851192,41487965,0.064,0.064,0.16444,615.3088032,0.06975457,0.2338443,0.068072525,0.105724989
Ukraine,7668.055776,7668.055776,45004645,0.101,0.1,0.69915,2185.728031,0.03185545,0.1091335,0.582388263,0.385244483
United Arab Emirates,67133.06552,67133.06552,9269612,,,0.85804,37622.20746,0.245883,0.3713813,,
United Kingdom,39254.77217,38901.04676,65637239,0.075,0.073,0.82835,39899.38839,0.3657089,0.6278858,,
United States,53445.37059,53272.51571,323127513,0.05,0.051,0.81788,57466.78711,0.3883319,0.6432125,,
Upper middle income,15792.91179,15722.05651,2579909675,,,0.650454586,7937.288209,0.230716,0.384352,,
Uruguay,20046.92683,20046.92683,3444006,0.058,0.051,0.9546,15220.56603,0.0528978,0.1757146,0.630186345,0.377865207
Uzbekistan,6038.928299,6038.871414,31848200,,0.074,0.36479,2110.647872,0.008141438,0.02522454,,
Vanuatu,2856.47531,2856.47531,270402,0.067,0.068,0.26441,2860.566475,0.19,0.19,,
"Venezuela, RB",,17665.24,31568179,0.032,0.032,0.89043,12237.22406,0.1876162,0.2550486,,
Vietnam,5837.628704,5955.261888,92701100,0.071,0.071,0.34236,2185.690282,0.09144979,0.1847556,0.064260815,0.157171478
Virgin Islands (U.S.),,,102951,,,0.95459,36350.82163,,,,
West Bank and Gaza,4389.22673,,4551566,0.077,0.077,0.75481,2943.404534,0.01446696,0.07598995,0.253983328,0.029660146
World,15066.79833,15023.50859,7442135578,,,0.542980917,10150.78828,0.1918915,0.3292653,,
"Yemen, Rep.",2325.06996,2325.06996,27584213,0.073,0.073,0.35187,990.334774,0.000864128,0.01403569,0.10970581,0.078327289
Zambia,3646.962322,3636.059711,16591390,0.029,0.029,0.41379,1178.387905,0.05518931,0.2458853,0.144864725,0.087027999
Zimbabwe,1879.62812,1859.937441,16150362,0.058,0.058,0.32277,1008.597331,0.008329735,0.08131872,0.158168769,0.105553901
