,avg_prod_k
Albania,0.2785634814990592
Algeria,0.2889104503291931
Angola,0.25798656043017176
Anguilla,0.08939670947592271
Antigua and Barbuda,0.1965798305897395
Argentina,0.40028311406384937
Armenia,0.6229239561024867
Aruba,0.2900954091368279
Australia,0.261016845985482
Austria,0.20338667303006075
Azerbaijan,1.0972159979013412
"Bahamas, The",0.17814358167191324
Bahrain,0.3167842477995807
Bangladesh,0.3005752870729856
Barbados,0.30097955403576265
Belarus,0.5575302406518856
Belgium,0.1897927283388449
Belize,0.26768435101768434
Benin,0.3640239945947084
Bermuda,0.18616346548104687
Bhutan,0.1616177214657107
Bolivia,0.5059889349448755
Bosnia and Herzegovina,0.34196963325993
Botswana,0.2289836198583274
Brazil,0.22144792422871085
Brunei Darussalam,0.23057244304524133
Bulgaria,0.38653961575627355
Burkina Faso,0.39610904527906576
Burundi,0.7427542595399118
Cambodia,0.4905216278218039
Cameroon,0.4370937463222939
Canada,0.24977409803427772
Cape Verde,0.2645166713365088
Cayman Islands,0.018668842258921473
Central African Republic,0.1674678703356991
Chad,0.8509025606956941
Chile,0.32170112979565174
China,0.2422936531748424
"China, Hong Kong SAR",0.1996519505737411
"China, Macao SAR",0.5454564781652089
Colombia,0.32371345540539415
Comoros,0.46093969144460023
"Congo, Rep.",0.20881230451964375
Costa Rica,0.39031048949975117
Cote d'Ivoire,0.4198457079148629
Croatia,0.21183730118342958
Cuba,0.3900885552741554
Cyprus,0.1637049402829142
Czech Republic,0.17612037588036783
D.R. of the Congo,1.1739641817870374
Denmark,0.22876582212156452
Djibouti,0.17754690475078322
Dominica,0.2489250493096647
Dominican Republic,0.2998107066720086
Ecuador,0.28280063924105187
"Egypt, Arab Rep.",0.7586360685372383
El Salvador,0.4538711102632622
Equatorial Guinea,0.2613329506357432
Estonia,0.2240364865259354
Ethiopia,0.3766273456263926
Fiji,0.3481038803906317
Finland,0.206561128411619
France,0.2089131261381394
Gabon,0.2743361176308348
"Gambia, The",0.40521208115437457
Georgia,0.5731993954024615
Germany,0.24593083922046566
Ghana,0.30463108268449857
Greece,0.1338055835662256
Grenada,0.18387786596119932
Guatemala,0.37654227373029503
Guinea,0.9385742407297871
Guinea-Bissau,0.4231887629374076
Guyana,0.38084819217434374
Haiti,0.1333669537730951
Honduras,0.27790371617567744
Hungary,0.20997493225234193
Jamaica,0.20311210419878095
Kiribati,0.28394957983193275
Maldives,0.30899368534193206
Mauritius,0.26998959699669817
New Caledonia,0.1567434114415941
Papua New Guinea,0.32518120719724364
Puerto Rico,0.3918303323939312
Sao Tome and Principe,0.1463447951012718
Singapore,0.2644643106949859
Solomon Islands,0.29688600054156516
St. Kitts and Nevis,0.1806809338521401
St. Lucia,0.3962581796549673
Suriname,0.5436590436590436
Timor-Leste,0.12895241137016927
Tonga,0.3578357636224098
Trinidad and Tobago,0.3587566245413779
Vanuatu,0.297067615658363
"Virgin Islands, British",0.2912124137276223
Iceland,0.21725359347848666
India,0.31018188110565986
Indonesia,0.1823257847508473
"Iran, Islamic Rep.",0.32236232414003735
Iraq,0.5790754225453199
Ireland,0.24151109121903508
Israel,0.3116809611725717
Italy,0.16025805440633667
Japan,0.2452293957702569
Jordan,0.39032283505709925
Kazakhstan,0.5520502395723402
Kenya,0.4563892686608431
Kuwait,0.5124468520297866
Kyrgyz Republic,0.9384864771961189
Lao People's DR,0.35970822919973944
Latvia,0.14291119513674636
Lebanon,0.20823967774370966
Lesotho,0.24719246173523196
Liberia,0.3778405138692438
Lithuania,0.28345619298985714
Luxembourg,0.20280042865014117
Madagascar,0.4850247525798031
Malawi,0.283217463932187
Malaysia,0.3301538543923811
Mali,0.4616028354863666
Malta,0.24896738514676578
Mauritania,0.30812171984339976
Mexico,0.2896297677937531
Mongolia,0.24441595722244738
Montenegro,0.3708767720879199
,0.06011433301590675
Morocco,0.18441565251276218
Mozambique,0.47871922763665076
Myanmar,0.7219105979677607
Namibia,0.3106081252890297
Nepal,0.3788325168702425
Netherlands,0.22793245340170462
New Zealand,0.3297453151903337
Nicaragua,0.29951711867347164
Niger,0.21006665111717923
Nigeria,0.49826484756663536
Norway,0.30191842707761
Oman,0.28815352348413864
Pakistan,0.583698010268073
Panama,0.38017890154664546
Paraguay,0.3881053419021773
Peru,0.3654780563517337
Philippines,0.3140382689887011
Poland,0.45208880601040446
Portugal,0.14348434217761902
Qatar,0.3378254813155954
"Korea, Rep.",0.2532148953669012
Moldova,0.4867921691750629
Romania,0.24105243199216417
Russian Federation,0.44235452392582764
Rwanda,0.5235569849018981
Saudi Arabia,0.27081908978650754
Senegal,0.2958499139292695
Serbia,0.2402307786935469
Seychelles,0.21854769867246696
Sierra Leone,0.38857985153417995
Slovak Republic,0.2589615185098616
Slovenia,0.16780060592948848
South Africa,0.29018563396452973
Spain,0.17790375344934092
Sri Lanka,0.3729874170362724
St. Vincent and the Grenadines,0.1332927780170586
West Bank and Gaza,0.2839136336093442
Sudan (Former),0.45601869573798265
Swaziland,0.19057374114995695
Sweden,0.2303490534611543
Switzerland,0.2650790446676185
Syrian Arab Republic,0.2502915352824095
TFYR of Macedonia,0.30360307734693287
Taiwan,0.2850632782222879
Tajikistan,0.14091579478901742
Thailand,0.24835258497219048
Togo,0.36300714775038095
Tunisia,0.21255688808978376
Turkey,0.32861270273712145
Turkmenistan,0.2657182857650194
Turks and Caicos Islands,0.03623195703615049
U.R. of Tanzania: Mainland,0.2176522710633448
Uganda,0.3177894018245813
Ukraine,0.29094801809000975
United Arab Emirates,0.2543606323095617
United Kingdom,0.2087365797255465
United States,0.3120324824883275
Uruguay,0.2576520767434995
Uzbekistan,0.7867646259355688
"Venezuela, RB",0.1953671434480886
Vietnam,0.3538231585880093
"Yemen, Rep.",0.40717583655906614
Zambia,0.19462109048324083
Zimbabwe,0.3366968414235725
