country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Albania,nonpoor,0.8,12935.255293,0.09645449,1.094743098803578,70385.98354829606,0.019638884863824358,0.0
Albania,poor,0.2,5054.830828,0.04461803,0.6210276047856879,24996.74090361007,0.018856440435590784,0.0
Algeria,nonpoor,0.8,15765.736372649999,0.1647805,1.0434668433871528,55208.17433685575,0.02401195919508335,0.6000000000000002
Algeria,poor,0.2,6542.954609399999,0.10180030000000001,0.8261326264513882,20092.821340769053,0.024618910941255734,0.6000000000000002
Angola,nonpoor,0.8,7076.837299014998,0.22208070000000002,1.160475742156355,16402.70600862844,0.002501448504453897,0.0
Angola,poor,0.2,1615.85291394,0.040258800000000004,0.358097031374579,3592.1886702125244,0.011066076712731507,0.0
Antigua and Barbuda,nonpoor,0.8,25995.729435513753,0.153,1.2236108957535194,65006.56469537087,0.2771483662530562,0.4000000000000002
Antigua and Barbuda,poor,0.2,1082.170407945,0.153,0.10555641698592254,2301.5728287279408,0.2905355316131461,0.4000000000000002
Argentina,nonpoor,0.8,21956.203931874996,0.06069045,1.1656900384310698,81715.8279973412,0.007588824149980052,0.8000000000000004
Argentina,poor,0.2,4622.3587225,0.01099222,0.3372398462757205,16105.861928017695,0.00796235157520533,0.8000000000000004
Armenia,nonpoor,0.8,9429.012981461248,0.02506004,1.043057699044706,27015.099529453375,0.047251901683744206,0.4000000000000002
Armenia,poor,0.2,3235.1445191549997,0.0044171390000000005,0.8277692038211759,3615.8339051832586,0.04710384521107197,0.4000000000000002
Australia,nonpoor,0.8,51286.942405237496,0.702807,0.9182778183098946,194805.08605236717,0.004856707049933125,1.0
Australia,poor,0.2,16155.110229049997,0.48560159999999997,1.3268887267604212,29628.142656137006,0.005230268320622871,1.0
Austria,nonpoor,0.8,51160.08194902499,0.6850328,1.1274635775032424,223505.16040076534,0.021231532291325614,1.0
Austria,poor,0.2,17553.296303899995,0.48613950000000006,0.49014568998702934,62562.110064528744,0.022845595601068573,1.0
Azerbaijan,nonpoor,0.8,18321.515293,0.06077156,1.0385490136674986,32736.606153153327,0.022817046605112943,0.0
Azerbaijan,poor,0.2,6720.555828,0.04266026,0.8458039453300048,2794.415522669797,0.02315855571121572,0.0
Bangladesh,nonpoor,0.8,3792.3614377300005,0.09956344,1.2009785036951577,12982.332550713123,0.0571578608972592,0.8000000000000004
Bangladesh,poor,0.2,1427.3220290799998,0.03864263,0.19608598521936924,5358.407050647597,0.05703907639563037,0.8000000000000004
Belarus,nonpoor,0.8,18929.8716101,0.1958292,1.0448748392719511,51625.99064204522,0.0143235703749746,0.8000000000000004
Belarus,poor,0.2,8041.0074096,0.07855246,0.8205006429121953,10242.519484838376,0.015065419198939368,0.8000000000000004
Belgium,nonpoor,0.8,48093.056564625,0.6023575,1.084866627560227,230180.756779416,0.006230487115074185,0.0
Belgium,poor,0.2,18100.6689915,0.4867135,0.6605334897590918,50578.9312561272,0.006501380865777602,0.0
Belize,nonpoor,0.8,9492.698404740997,0.2864756,1.1125850827568646,9983.385958959147,0.1976961431109093,0.0
Belize,poor,0.2,1259.2855410359996,0.1267646,0.5496596689725407,865.3283980573058,0.20874446435319358,0.0
Benin,nonpoor,0.8,2432.05327464,0.09291302,1.2243358144014043,7357.267779813516,0.007687678974306542,0.4000000000000002
Benin,poor,0.2,321.59382144,0.0402082,0.10265674239438313,1001.5294293999627,0.017189550866231335,0.4000000000000002
Bhutan,nonpoor,0.8,9625.40387442375,0.2584666,1.1398036483700025,51890.35029825778,0.030320092364825038,0.6000000000000002
Bhutan,poor,0.2,2764.8534173049998,0.1739075,0.44078540651998993,14808.967871489716,0.02833419694039809,0.6000000000000002
Bolivia,nonpoor,0.8,8057.932366030001,0.3135603,1.1071623813558793,19345.73404394692,0.01803158221184458,0.6000000000000002
Bolivia,poor,0.2,1308.05145588,0.1129292,0.5713504745764819,2126.456108015308,0.01861147269382578,0.6000000000000002
Bosnia and Herzegovina,nonpoor,0.8,13069.088599287501,0.11128210000000001,1.0890473537432623,40691.85275263295,0.015792957499217133,0.0
Bosnia and Herzegovina,poor,0.2,4361.082652849999,0.05371241,0.6438105850269504,12076.063619619661,0.01602882617475048,0.0
Botswana,nonpoor,0.8,19103.733027899998,0.3458668,1.0839556918065747,68319.8839868128,0.004730614342352396,0.8000000000000004
Botswana,poor,0.2,2201.2531883999995,0.1474994,0.6641772327737004,6316.178692826256,0.004992082295532853,0.8000000000000004
Brazil,nonpoor,0.8,16898.548402099997,0.1676081,1.2114325556981178,63546.49813667091,0.0022098078060825504,0.2000000000000001
Brazil,poor,0.2,2524.2644916000004,0.05749141,0.15426977720752866,9839.067832578332,0.002453449345485601,0.2000000000000001
Bulgaria,nonpoor,0.8,20908.56876675,0.199541,1.1315847765002909,66448.1273747596,0.007958753128560021,0.8000000000000004
Bulgaria,poor,0.2,5338.357983,0.05927353,0.47366089399883593,9597.653871832343,0.007557874282080511,0.8000000000000004
Burkina Faso,nonpoor,0.8,1882.3555122224998,0.1090839,1.1573123974878676,4638.940373439092,0.0031931741804776714,0.6000000000000002
Burkina Faso,poor,0.2,681.50712111,0.05447056,0.37075041004852866,1684.8984356618994,0.0020792762105435996,0.6000000000000002
Burundi,nonpoor,0.8,839.2692234456251,0.05378873,1.154645390796324,1814.2836934300133,0.023997810386982277,0.6000000000000002
Burundi,poor,0.2,248.80591371750003,0.01814623,0.3814184368147044,531.2970383458926,0.02451551091439813,0.6000000000000002
Cameroon,nonpoor,0.8,3995.2637403937497,0.1220212,1.2027776008659807,9518.021782443884,0.017689137965562172,0.8000000000000004
Cameroon,poor,0.2,753.0340034249999,0.01092981,0.1888895965360776,1795.8922400239749,0.024967159564152106,0.8000000000000004
Canada,nonpoor,0.8,50335.226034974985,0.6994052,0.9480528519889098,155912.69048265088,0.009299262194611276,0.8000000000000004
Canada,poor,0.2,14227.5157101,0.5176056,1.2077885920443607,18908.90724572721,0.010149450580794875,0.8000000000000004
Central African Republic,nonpoor,0.8,783.125487652,0.03726327,1.1969176919665334,2488.2788164411277,0.008844563721965765,0.0
Central African Republic,poor,0.2,106.900273392,0.0062126659999999995,0.21232923213386592,339.071216803996,0.010503547810584166,0.0
Chad,nonpoor,0.8,2194.33107466125,0.05942366,1.1970792830140142,2912.7107356809856,0.007183639055310221,0.0
Chad,poor,0.2,452.249096355,0.026735900000000003,0.21168286794394292,602.9557947063653,0.007975668512864898,0.0
Chile,nonpoor,0.8,27020.9974426,0.1811644,1.138764501160066,78369.42721288448,0.08254404263515192,0.8000000000000004
Chile,poor,0.2,5449.6129296,0.1033565,0.4449419953597357,13337.279766633104,0.08383868540530197,0.8000000000000004
China,nonpoor,0.8,17063.345477099996,0.4840392,1.1025467859810107,75344.62797916123,0.01426962808657611,0.8000000000000004
China,poor,0.2,3743.8563916000003,0.305054,0.5898128560759575,12723.118038274242,0.014574898221570175,0.8000000000000004
Colombia,nonpoor,0.8,15765.595214050001,0.1673623,1.182571769961846,56435.411571283796,0.05981587883859434,0.8000000000000004
Colombia,poor,0.2,2559.2433438,0.05714529,0.26971292015261583,8806.207710958513,0.0648634354292349,0.8000000000000004
Comoros,nonpoor,0.8,1684.5631046812498,0.1475529,1.1747780139957908,8513.47456893836,0.008888570557814073,0.6000000000000002
Comoros,poor,0.2,317.509276275,0.03531137,0.30088794401683605,1588.6919370058736,0.009070667471329334,0.6000000000000002
"Congo, Dem. Rep.",nonpoor,0.8,878.7251919599998,0.06591558,1.2023387285734228,3701.296720972511,0.015355498673064827,0.4000000000000002
"Congo, Dem. Rep.",poor,0.2,204.57094415999995,0.02017935,0.19064508570630787,885.0790568415374,0.029402558800844483,0.4000000000000002
"Congo, Rep.",nonpoor,0.8,6348.421639347499,0.13450479999999998,1.1858645474303984,17058.267339380902,0.03888624632768385,0.0
"Congo, Rep.",poor,0.2,1113.29314761,0.04429218,0.25654181027840633,2878.2283671241703,0.04312974694518529,0.0
Costa Rica,nonpoor,0.8,18443.28726875,0.29628730000000003,1.169530910024198,38451.55464023559,0.021312934889091997,1.0
Costa Rica,poor,0.2,3234.313425,0.1604869,0.32187635990320806,5994.530695410934,0.021312934889091997,1.0
Cote d'Ivoire,nonpoor,0.8,4036.9408125375003,0.1283048,1.165601919667982,7017.2795606780555,0.006455175124759343,0.0
Cote d'Ivoire,poor,0.2,976.05779985,0.02885922,0.337592321328072,1660.953822329393,0.00630648727273055,0.0
Croatia,nonpoor,0.8,24945.532537612497,0.292387,1.0776290716070744,111320.18213674576,0.012363820345966241,0.8000000000000004
Croatia,poor,0.2,7857.7081995499975,0.2455249,0.6894837135717019,21657.86375081343,0.012850915004392704,0.8000000000000004
Cyprus,nonpoor,0.8,36070.26619124999,0.2639375,1.1127463956790131,181939.7965416929,0.023258683982928987,0.0
Cyprus,poor,0.2,12375.900234999997,0.15590479999999998,0.5490144172839468,48739.87983108054,0.023262858023031012,0.0
Czech Republic,nonpoor,0.8,35373.7553932875,0.42273649999999996,1.1396342038746883,146369.3861377266,0.007958240400313862,1.0
Czech Republic,poor,0.2,15199.35447685,0.3099159,0.4414631845012468,67960.67941944115,0.00868623173632199,1.0
Denmark,nonpoor,0.8,52085.06206335001,0.6937743000000001,1.0428507107699565,237517.52131668662,0.00036154901313094806,0.8000000000000004
Denmark,poor,0.2,21615.8756466,0.5787514,0.8285971569201745,49278.30162510363,0.00040141146537064616,0.8000000000000004
Dominica,nonpoor,0.8,12206.9893803,0.44,0.9791213179545516,8469.39980351651,0.32468308528824746,0.0
Dominica,poor,0.2,1928.7550787999999,0.44,1.0835147281817934,610.6984394123095,0.33791240129772826,0.0
Dominican Republic,nonpoor,0.8,16760.038690462497,0.3398572,1.1421788441015974,44683.01571295257,0.0911278938793328,0.8000000000000004
Dominican Republic,poor,0.2,3454.2245881499994,0.16015629999999997,0.4312846235936101,8181.114279386667,0.0903646001049498,0.8000000000000004
Ecuador,nonpoor,0.8,12417.9046686875,0.17610920000000002,1.1633548947721004,48491.0131241169,0.021246658983278436,0.6000000000000002
Ecuador,poor,0.2,2449.7020752500002,0.09100455,0.34658042091159824,8469.698777734573,0.022617082233824446,0.6000000000000002
"Egypt, Arab Rep.",nonpoor,0.8,11725.255686712499,0.05446997,1.1530944263089176,23747.19633000709,0.0076064887764645825,0.6000000000000002
"Egypt, Arab Rep.",poor,0.2,4695.261903149999,0.02068763,0.38762229476432974,9716.069306633432,0.012848634834778732,0.6000000000000002
El Salvador,nonpoor,0.8,9398.234272369999,0.2072156,1.1863991636242528,69861.19908201451,0.01923097255085014,0.6000000000000002
El Salvador,poor,0.2,2357.04919052,0.0411891,0.25440334550298865,18148.486541262417,0.019824431887167124,0.6000000000000002
Estonia,nonpoor,0.8,32501.975952499997,0.3648965,1.115597341427031,118365.44985848924,0.016054063254850263,0.0
Estonia,poor,0.2,10541.181389999998,0.24340720000000002,0.5376106342918765,28390.9773850762,0.016656991089223465,0.0
Ethiopia,nonpoor,0.8,1877.6826332299997,0.1639884,1.144033937920317,4976.806907507748,0.01054674819851652,0.8000000000000004
Ethiopia,poor,0.2,530.7368470800001,0.09488185,0.4238642483187311,1359.9598541029939,0.0069345420883896456,0.8000000000000004
Fiji,nonpoor,0.8,9756.59016948,0.6,1.110292618161369,29195.47553159408,0.11634146993580463,1.0
Fiji,poor,0.2,3209.9604020799993,0.6,0.5588295273545235,8869.446395541707,0.11297723953756832,1.0
France,nonpoor,0.8,43817.834766825,0.5990517,1.122863009275521,199131.64377692682,0.015957223075173277,1.0
France,poor,0.2,15034.1322327,0.4053758,0.5085479628979154,55145.70005891243,0.01737424553342194,1.0
Gabon,nonpoor,0.8,19765.515847799998,0.24289940000000002,1.1241142576184826,60303.85685163893,0.019634810886401646,0.2000000000000001
Gabon,poor,0.2,4867.9402088,0.08577912,0.5035429695260693,13185.469065972566,0.04064928075158907,0.2000000000000001
Georgia,nonpoor,0.8,10819.02863089875,0.008063393,1.1061232802782208,31837.463916355337,0.05931856577947071,0.6000000000000002
Georgia,poor,0.2,3107.7166914050003,0.01164885,0.5755068788871167,336.02730592897626,0.05999517901794764,0.6000000000000002
Germany,nonpoor,0.8,51121.27853382501,0.6140809,1.094490686392932,193624.4009438823,0.009816758073521446,0.8000000000000004
Germany,poor,0.2,17299.1745147,0.5265064,0.6220372544282718,37847.14406780887,0.010510568971947245,0.8000000000000004
Ghana,nonpoor,0.8,4706.588990345,0.2321198,1.0061650235322845,11898.036147904933,0.003771480588952216,0.8000000000000004
Ghana,poor,0.2,1074.6545686200002,0.1174127,0.9753399058708615,1192.612100808711,0.004516518566334925,0.8000000000000004
Greece,nonpoor,0.8,28493.470931112497,0.16323,1.192105367812764,118773.44754646554,0.06193571684386237,1.0
Greece,poor,0.2,7146.077725550001,0.0654293,0.23157852874894386,36410.35338414375,0.06207053960463205,1.0
Guatemala,nonpoor,0.8,8794.079872999999,0.2047981,1.0927804006661896,13627.795174592397,0.05686214979984785,0.4000000000000002
Guatemala,poor,0.2,1657.5229079999997,0.06985804,0.6288783973352412,2369.548007984827,0.06214476117586902,0.4000000000000002
Guinea,nonpoor,0.8,2105.9563001399997,0.044386400000000006,1.224992096212182,5970.003918832424,0.008079835219474356,0.6000000000000002
Guinea,poor,0.2,692.8687394399998,0.0054247290000000005,0.10003161515127154,2088.3302455943394,0.009834770211986782,0.6000000000000002
Guinea-Bissau,nonpoor,0.8,1780.69533139375,0.0002,1.2060049540475468,4203.518632334276,0.00418003125430345,0.2000000000000001
Guinea-Bissau,poor,0.2,335.62843942499995,0.0002,0.17598018380981229,810.2350417162945,0.004473700172259873,0.2000000000000001
Guyana,nonpoor,0.8,8674.187746468748,0.68,1.1412457164319647,22921.839855259448,0.042051222359334665,0.0
Guyana,poor,0.2,1634.9254391249997,0.68,0.4350171342721406,3709.3817780596532,0.06606312586582319,0.0
Haiti,nonpoor,0.8,1953.74243295,0.12755239999999998,1.1998446326513026,14646.0725649552,0.2096786318902968,0.6000000000000002
Haiti,poor,0.2,454.8395082,0.04369855,0.20062146939478936,3423.6435351574028,0.22277297257648246,0.6000000000000002
Honduras,nonpoor,0.8,5314.641795869999,0.1964441,1.1757247746209143,14683.81730611304,0.05057471527764967,0.4000000000000002
Honduras,poor,0.2,702.76255152,0.06635398,0.2971009015163429,1665.6411653273613,0.05211412669320876,0.4000000000000002
Hungary,nonpoor,0.8,29577.916740000004,0.2304348,1.0899740897623416,142750.21958606367,0.03151808663207275,1.0
Hungary,poor,0.2,10009.01304,0.1423596,0.6401036409506339,8928.715238288256,0.03889313585445867,1.0
India,nonpoor,0.8,6983.69788118625,0.18833629999999998,1.074368802678621,15563.266397306474,0.004772864432565895,0.8000000000000004
India,poor,0.2,2528.448960255,0.07480032,0.7025247892855163,5064.525352942419,0.005100755407046798,0.8000000000000004
Indonesia,nonpoor,0.8,12486.87568,0.3511817,1.0835565390321888,40663.31464666038,0.020460640350976524,0.8000000000000004
Indonesia,poor,0.2,3875.2372800000007,0.1379658,0.6657738438712437,10981.467491930242,0.020127889418401997,0.8000000000000004
"Iran, Islamic Rep.",nonpoor,0.8,21665.404197962496,0.2603003,1.0937452302604551,68854.21922883879,0.014086273323945374,0.4000000000000002
"Iran, Islamic Rep.",poor,0.2,5826.76825815,0.1516682,0.6250190789581803,15431.511991595651,0.01449608127099206,0.4000000000000002
Iraq,nonpoor,0.8,18339.086588399998,0.03651581,1.1249677724876994,31450.83211061367,0.016127135024084662,0.6000000000000002
Iraq,poor,0.2,7078.2439464,0.033137599999999996,0.5001289100492016,11905.32940105256,0.019310382573519726,0.6000000000000002
Ireland,nonpoor,0.8,72875.453703675,0.5566727,1.0968175885876217,245536.7962844288,0.008708794009962337,0.0
Ireland,poor,0.2,25003.955885299998,0.40051929999999997,0.6127296456495123,34737.03060981083,0.009614262816876211,0.0
Israel,nonpoor,0.8,38940.066149125,0.6097891,1.0932522782033902,110566.85756033876,0.006026560614601165,0.0
Israel,poor,0.2,7681.7759035,0.4204639,0.6269908871864386,13665.464435568301,0.006033022002165367,0.0
Italy,nonpoor,0.8,40685.5944796,0.44066890000000003,1.1692501198879177,199233.61265251364,0.013674794639191022,1.0
Italy,poor,0.2,10756.958881600001,0.20171340000000001,0.32299952044832936,51008.794778390555,0.013916870195247344,1.0
Jamaica,nonpoor,0.8,9682.625577474999,0.3520919,1.1351534967410017,25602.645501828385,0.09203442246258972,0.8000000000000004
Jamaica,poor,0.2,2167.5993900999997,0.21472039999999998,0.45938601303599236,4930.949346719317,0.09324754812621247,0.8000000000000004
Japan,nonpoor,0.8,44277.038569549986,0.6250876999999999,0.9972538092796331,218193.37092388654,0.028271416051328917,0.8000000000000004
Japan,poor,0.2,14153.3514218,0.5732915,1.0109847628814677,36080.36095558936,0.029285948816963375,0.8000000000000004
Jordan,nonpoor,0.8,9627.071248664999,0.05062747,1.1269726833232263,55040.219389335485,0.0065216837234177445,0.6000000000000002
Jordan,poor,0.2,3439.737875339999,0.01797048,0.492109266707094,18556.24644196348,0.006549799454541808,0.6000000000000002
Kazakhstan,nonpoor,0.8,26377.3856925,0.1153157,1.0824581456260591,79948.85508188594,0.025083582329589127,0.8000000000000004
Kazakhstan,poor,0.2,11723.28253,0.02605716,0.6701674174957633,34842.19779397181,0.027287961256041906,0.8000000000000004
Kenya,nonpoor,0.8,3485.12209237625,0.4164474,1.2046219337021318,7521.44567437286,0.004639731127777076,0.4000000000000002
Kenya,poor,0.2,687.516215495,0.1333483,0.18151226519147173,1510.890782537698,0.00759624306845239,0.4000000000000002
Kiribati,nonpoor,0.8,2282.6438396024996,0.0,1.1647459110901046,8040.7351571939025,0.001300149613703875,0.0
Kiribati,poor,0.2,645.2012565900001,0.0,0.34101635563958116,2264.92019350908,0.001300149613703875,0.0
"Korea, Rep.",nonpoor,0.8,40539.8529111375,0.6404361999999999,1.0226672556743923,175492.9535947692,0.03210337952980487,1.0
"Korea, Rep.",poor,0.2,12769.835005449999,0.3633893,0.9093309773024305,36769.563140739345,0.03543838722914717,1.0
Kyrgyz Republic,nonpoor,0.8,3705.413621625,0.0561118,1.091495454490235,7203.316597997309,0.06667653564512724,0.8000000000000004
Kyrgyz Republic,poor,0.2,1646.8504985,0.03731649,0.6340181820390598,2843.197410216897,0.0668395061178478,0.8000000000000004
Lao PDR,nonpoor,0.8,7014.573367725001,0.2385275,1.2219256315570572,28127.45796180367,0.059108524460250125,0.6000000000000002
Lao PDR,poor,0.2,2307.8250041,0.1325088,0.11229747377177077,10281.333763032208,0.05048113184541487,0.6000000000000002
Latvia,nonpoor,0.8,27554.736464449998,0.2983719,1.037743970921779,119363.93780386388,0.049781618163807086,0.0
