country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Afghanistan,1820.3043031393202,32526562.0,,0.26703000000000005,0.02233598,0.04460866,0.11107429685686761,0.04316252283353993
Albania,10397.2873904977,2889167.0,0.0885,0.57407,0.044618029999999996,0.09645449,0.2438882981528826,0.16800565262848097
Algeria,13822.5662222971,39666519.0,,0.7072700000000001,0.10180030000000001,0.1647805,,
American Samoa,,55538.0,,0.8720200000000001,,,,
Andorra,,70473.0,,0.85115,,,,
Angola,6937.006266116629,25021974.0,0.054299999999999994,0.44049999999999995,0.0402588,0.22208070000000002,,
Antigua and Barbuda,21615.3066803928,91818.0,,0.23773000000000002,,,,
Arab World,15449.0410931251,392022276.0,,0.5782168497171319,,,,
Argentina,18087.196261682242,43416755.0,0.0475,0.91751,0.010992219999999999,0.06069045,0.20015344553599781,0.14565106530835328
Armenia,7899.28441030032,3017712.0,0.0848,0.62673,0.004417139,0.02506004,0.7336326636811208,0.31717955102620626
Aruba,36015.070459561,103889.0,,0.41528,,,,
Australia,43654.5805243593,23781169.0,0.0709,0.8942299999999999,0.48560159999999997,0.702807,,
Austria,43892.729536691404,8611088.0,0.07780000000000001,0.65968,0.4861395,0.6850328,,
Azerbaijan,16695.3894224544,9651349.0,0.13369999999999999,0.5462,0.04266026,0.060771559999999995,0.8571289621356334,0.3860532955260186
"Bahamas, The",22394.3135554848,388019.0,,0.8287399999999999,,,,
Bahrain,44182.0376434175,1377237.0,,0.88775,0.2638231,0.4028472,,
Bangladesh,3136.5610686987798,160995642.0,0.0889,0.34277,0.03864263,0.09956344,0.06325835608801508,0.14582058163366513
Barbados,15425.736814408301,284215.0,,0.31475000000000003,,,,
Belarus,16621.0334358041,9513000.0,0.0965,0.76667,0.07855246,0.1958292,0.7131045570416903,0.38574592920429235
Belgium,41138.3833578238,11285721.0,0.0862,0.9785799999999999,0.48671349999999997,0.6023575,,
Belize,8024.8443409734,359287.0,,0.43973,0.1267646,0.2864756,0.420367529660433,0.11287637643952123
Benin,1985.61385323733,10879829.0,0.060599999999999994,0.4395,0.0402082,0.09291302,0.04725879624981513,0.07452986615849086
Bermuda,50669.3147696996,65235.0,,1.0,,,,
Bhutan,7601.368909759971,774830.0,0.0677,0.38644,0.1739075,0.2584666,0.024656816312800124,0.018314412029414015
Bolivia,6475.741503268549,10724705.0,0.0342,0.68512,0.11292920000000001,0.3135603,0.4102582892993626,0.12905276195012985
Bosnia and Herzegovina,10023.5601739126,3810416.0,0.0748,0.39766999999999997,0.05371241,0.11128210000000001,0.22220584397440438,0.1254276087362129
Botswana,14876.3317411501,2262485.0,0.028399999999999998,0.57444,0.14749939999999997,0.34586680000000003,0.23278881451946298,0.043776538431895676
Brazil,14454.9373211346,207847528.0,0.032799999999999996,0.8568700000000001,0.05749141000000001,0.16760809999999998,0.16918099974217718,0.19845197910315215
British Virgin Islands,,30117.0,,0.46186000000000005,,,,
Brunei Darussalam,66647.1656409946,423188.0,,0.7720199999999999,,,,
Bulgaria,16956.409065094198,7177991.0,0.0616,0.73948,0.05927353,0.199541,0.5143871021114643,0.23240492980332722
Burkina Faso,1561.52191470315,18105570.0,0.067,0.29859,0.05447056,0.10908389999999998,0.4946753917126161,0.30354287162307714
Burundi,692.673931192175,11178921.0,0.0892,0.12057000000000001,0.01814623,0.05378873000000001,,
Cabo Verde,6295.901426308621,520502.0,0.049699999999999994,0.6552600000000001,,,0.11215629287022583,0.08850635522282173
Cambodia,3278.2212146387606,15577899.0,0.09050000000000001,0.20723000000000003,0.02697189,0.04235721,0.04113893336731722,0.035798500666983965
Cameroon,2938.7762141428902,23344179.0,0.0583,0.54381,0.01092981,0.1220212,0.149924286778418,0.02986213188812069
Canada,42890.881104323904,35851774.0,0.071,0.81828,0.5176056,0.6994052,,
Caribbean small states,14669.415117923701,7048966.0,,0.42172807964884496,,,,
Cayman Islands,49902.1465489682,59967.0,,1.0,,,,
Central African Republic,562.192971628219,4900274.0,0.0333,0.40037,0.006212666,0.037263269999999994,0.0074973769063211345,0.0057691429049916525
Central Europe and the Baltics,23883.4346520918,103318638.0,,0.623555499904286,,,,
Chad,2043.5442307367002,14037472.0,0.048600000000000004,0.22471,0.026735900000000003,0.05942366000000001,,
Channel Islands,,163692.0,,0.31465,,,,
Chile,22145.094809787402,17948141.0,0.0463,0.8953,0.10335649999999999,0.1811644,0.27667821127356884,0.14281366359851747
China,13400.266968759399,1371220000.0,0.0467,0.55614,0.305054,0.4840392,,
Colombia,12988.167696911101,48228704.0,0.0335,0.76436,0.057145289999999994,0.1673623,0.12269429867232788,0.08732756485972662
Comoros,1363.56307523138,788474.0,0.0401,0.28296,0.03531137,0.1475529,0.036605229136707475,0.02693787180592966
"Congo, Dem. Rep.",736.6802449029581,77266814.0,0.0553,0.42494,0.02017935,0.06591558,0.012981287651009763,0.030175238161497177
"Congo, Rep.",5993.153100883521,4620330.0,0.056600000000000004,0.6537999999999999,0.044292179999999994,0.13450479999999998,0.1719690500661691,0.13940263943101538
Costa Rica,14471.7864115698,4807850.0,0.0412,0.76821,0.16048690000000002,0.2962873,0.2560476858962857,0.1631500651955905
Cote d'Ivoire,3289.9880433869203,22701556.0,0.051100000000000007,0.5418,0.028859220000000005,0.1283048,,
Croatia,20429.9927083351,4224404.0,0.0699,0.5896399999999999,0.2455249,0.292387,0.3912030319877197,0.26822971876610086
Cuba,19950.2806310196,11389562.0,,0.77074,,,,
Curacao,,158040.0,,0.89331,,,,
Cyprus,30309.6348301381,1165300.0,0.0799,0.6692100000000001,0.15590479999999998,0.2639375,,
Czech Republic,29805.3327832638,10551219.0,0.0955,0.72992,0.3099159,0.4227365,,
Denmark,43415.2294170316,5676002.0,0.0848,0.87676,0.5787514,0.6937743000000001,,
Djibouti,3120.04432799787,887861.0,0.042699999999999995,0.7734300000000001,0.01797438,0.043676589999999994,0.2858701354316727,0.08565180357270068
Dominica,10613.8604214062,72680.0,,0.6953900000000001,,,0.5815343307526244,0.08303201217611587
Dominican Republic,13374.908746258701,10528391.0,0.0493,0.7898000000000001,0.16015629999999997,0.3398572,0.2167073734240724,0.11828219625866958
Early-demographic dividend,8140.23115122782,3122703317.37425,,0.44138281160327103,,,,
East Asia & Pacific,14857.295253784,2279186469.0,,0.566292416783452,,,,
East Asia & Pacific (IDA & IBRD countries),12145.4073202259,2009929013.0,,0.52839816315686,,,,
East Asia & Pacific (excluding high income),12017.8989137017,2035129646.0,,0.52939836443982,,,,
Ecuador,10717.598614963399,16144363.0,0.045599999999999995,0.63742,0.09100455,0.1761092,0.2769967741263885,0.18342049292966386
"Egypt, Arab Rep.",10249.9579136244,91508084.0,0.0925,0.43134999999999996,0.020687630000000002,0.054469970000000006,0.10013164023017088,0.11927926539328736
El Salvador,8095.55898404423,6126583.0,0.0552,0.66726,0.0411891,0.2072156,0.1693604679350849,0.1980808255660691
Equatorial Guinea,28271.7952529236,845060.0,,0.39923000000000003,,,,
Eritrea,1411.15763791112,4789568.0,,0.20954,,,,
Estonia,26929.664035348,1311998.0,0.0717,0.67538,0.24340720000000002,0.36489649999999996,,
Ethiopia,1529.89378255456,99390750.0,0.0803,0.19472,0.09488185000000002,0.1639884,,
Euro area,37486.193456482004,339425073.0,,0.7592480434445981,0.37590640000000003,0.5452209,,
Europe & Central Asia,28097.7679686823,907944124.0,,0.708707405759518,,,,
Europe & Central Asia (IDA & IBRD countries),18056.7371180572,453562136.0,,0.646463763344474,,,,
Europe & Central Asia (excluding high income),17406.1040121827,411338238.0,,0.6508609503767321,,,,
European Union,35384.985483576,509668361.0,,0.747997227244914,,,,
Faroe Islands,,48199.0,,0.41961999999999994,,,,
Fiji,8619.687033706501,892145.0,0.061,0.53728,,,0.193288704870383,0.12634736653352485
Finland,38642.8123509235,5482013.0,0.0943,0.84221,0.43246429999999997,0.6640016999999999,,
Fragile and conflict affected situations,3522.6080743028297,485609230.0,,0.408284413825001,,,,
France,37305.690616923195,66808385.0,0.078,0.7951999999999999,0.4053758,0.5990517,,
French Polynesia,,282764.0,,0.5588000000000001,,,,
Gabon,18831.901240866202,1725292.0,0.0582,0.8715600000000001,0.08577912,0.2428994,0.21919784534284376,0.12051671406175977
"Gambia, The",1555.52934717449,1990924.0,0.04769999999999999,0.59632,,,,
Georgia,9109.256976975172,3679000.0,0.0562,0.53641,0.011648849999999999,0.008063393,0.9832011784414143,0.5428108927360503
Germany,44053.068121945595,81413145.0,0.0837,0.7530100000000001,0.5265064,0.6140809,,
Ghana,3953.2101802917896,27409893.0,0.0524,0.54042,0.1174127,0.23211980000000002,0.6257034540521396,0.1473819807795935
Gibraltar,,32217.0,,1.0,,,,
Greece,24617.0373269794,10823732.0,0.0555,0.78007,0.0654293,0.16323000000000001,,
Greenland,,56114.0,,0.86436,,,,
Grenada,12203.4247439933,106825.0,,0.35591,,,,
Guam,,169885.0,,0.94516,,,,
Guatemala,7252.9499659534495,16342897.0,0.0387,0.51571,0.06985804,0.2047981,0.11104015013004734,0.03636766340320938
Guinea,1135.48654988464,12608590.0,0.0756,0.37161,0.0054247290000000005,0.044386400000000006,,
Guinea-Bissau,1367.29890484093,1844325.0,0.0449,0.49332,,,,
Guyana,7064.45002367146,767085.0,,0.28553,,,,
Haiti,1658.4132028115,10711067.0,0.019799999999999998,0.58645,0.04369855,0.12755239999999998,0.01029806614756764,0.014338184169277365
Heavily indebted poor countries (HIPC),2052.31519230624,721104105.0,,0.34585872825928504,,,,
High income,42260.765929297595,1187189841.0,,0.8111687243288459,0.36405709999999997,0.5378352,,
Honduras,4785.08630117149,8075060.0,0.031,0.5473,0.06635397999999999,0.1964441,0.2579485659627888,0.1349800015059394
"Hong Kong SAR, China",53379.7368095233,7305700.0,,1.0,0.34516379999999997,0.6087457,,
Hungary,24474.488845737204,9844686.0,0.078,0.7122700000000001,0.1423596,0.2304348,0.8014838870713212,0.3974498381291192
IBRD only,11643.764094765,4542580688.37425,,0.536177107955629,,,,
IDA & IBRD total,9459.18247948938,6183634830.37425,,0.4879941664578871,,,,
IDA blend,5338.46196269967,585760189.0,,0.40984827402374,,,,
IDA only,2372.4726312074804,1055293953.0,,0.32368408359262396,,,,
IDA total,3445.99668483622,1641054142.0,,0.35447336968325294,,,,
Iceland,42449.1871266575,330823.0,0.09179999999999999,0.94137,,,,
India,5730.13750491843,1311050527.0,0.08199999999999999,0.32747,0.07480032,0.18833629999999998,,
Indonesia,10385.3233228547,257563815.0,0.07629999999999999,0.53742,0.1379658,0.3511817,,
"Iran, Islamic Rep.",16507.024248116002,79109272.0,0.0681,0.73375,0.1516682,0.2603003,,
Iraq,14017.7737871676,36423395.0,0.08800000000000001,0.69471,0.033137599999999996,0.036515809999999996,0.1295524584591229,0.11247386075519886
Ireland,51899.1998926683,4640703.0,0.07730000000000001,0.63241,0.40051929999999997,0.5566726999999999,,
Isle of Man,,87780.0,,0.52203,,,,
Israel,31670.694322627598,8380400.0,0.0461,0.9214,0.4204639,0.6097891,,
Italy,33587.122635679705,60802085.0,0.0623,0.68964,0.20171340000000001,0.44066890000000003,,
Jamaica,8528.89633309343,2725941.0,0.0528,0.54788,0.2147204,0.3520919,0.266518589381954,0.1474314747293658
Japan,35804.2311968702,126958472.0,0.0737,0.9349799999999999,0.5732915,0.6250877,,
Jordan,10239.6642755055,7594547.0,0.0819,0.83679,0.01797048,0.05062747,0.24754125076743594,0.20254922683467025
Kazakhstan,24352.846199855,17544126.0,0.09949999999999999,0.53247,0.026057160000000003,0.11531570000000001,0.06564464499053319,0.04712426534917984
Kenya,2901.01294130716,46050302.0,0.046799999999999994,0.25622,0.13334829999999998,0.4164474000000001,0.05486851859573319,0.07183448406098354
Kiribati,1749.20447636574,112423.0,0.0616,0.44303999999999993,,,0.09093071149088224,0.08778566916243413
"Korea, Dem. Peopleâ€™s Rep.",,25155317.0,,0.60875,,,,
"Korea, Rep.",34386.5748822246,50617045.0,,0.8247399999999999,0.36338929999999997,0.6404361999999999,,
Kosovo,9140.10139860695,1797151.0,0.09390000000000001,,0.049330530000000004,0.08574953,0.3631877926500793,0.1683102401242562
Kuwait,67112.99552237379,3892115.0,,0.9834200000000002,0.198661,0.29270870000000004,,
Kyrgyz Republic,3224.87761342378,5957000.0,0.0962,0.35707,0.03731649,0.0561118,0.349181831113288,0.267171013730729
Lao PDR,5341.30791963949,6802023.0,0.0725,0.38614000000000004,0.13250879999999998,0.2385275,0.03728431799420904,0.13347582175320616
Late-demographic dividend,14888.7012794498,2249154750.0,,0.59876303076686,,,,
Latin America & Caribbean,14651.206108997,632959079.0,,0.798810387360555,,,,
Latin America & Caribbean (excluding high income),13700.3916647773,561948237.0,,0.78685045644277,,,,
Latin America & the Caribbean (IDA & IBRD countries),14398.6673783979,616862604.0,,0.7987520332027779,,,,
Latvia,22628.4372652248,1978440.0,0.0634,0.6738200000000001,0.185183,0.2983719,0.5817045388103765,0.23839155421060512
Least developed countries: UN classification,2348.31380269067,954218054.0,,0.3153719931311,,,,
Lebanon,13117.2507166182,5850743.0,,0.87792,0.060850230000000005,0.2486327,,
Lesotho,2517.0102100867302,2135022.0,0.028399999999999998,0.27312,0.02873374,0.11368269999999998,,
Liberia,786.916696961156,4503438.0,0.065,0.49701,0.044962499999999996,0.20074909999999999,0.04503793391523511,0.13130818974140615
Libya,13320.8261848115,6278438.0,,0.78554,,,,
Liechtenstein,,37531.0,,0.14289000000000002,,,,
Lithuania,26396.868079452,2910199.0,0.06509999999999999,0.66508,0.167361,0.3604111,0.7601398503524004,0.20739038459557455
Low & middle income,9209.53478097931,6116026441.37425,,0.48399943130405704,0.1481179,0.27659279999999997,,
Low income,1547.9245769495,638286288.0,,0.307400011056105,0.05052696,0.1328835,,
Lower middle income,6045.065716864089,2927414098.0,,0.3895761165818639,0.07945867999999999,0.19305529999999999,,
Luxembourg,93552.60435358039,569676.0,0.0706,0.9016,0.5098123999999999,0.6614447,,
"Macao SAR, China",104718.26247938801,587606.0,,1.0,,,,
"Macedonia, FYR",12724.675281577,2078453.0,0.053899999999999997,0.57104,0.07452800999999999,0.17958029999999997,,
Madagascar,1373.34402275422,24235390.0,0.065,0.35105,0.01404179,0.045670380000000003,0.07307986905658793,0.0941497119376655
Malawi,1112.98730187659,17215232.0,0.0545,0.16272000000000003,0.04726891999999999,0.08640283,0.016992964323850702,0.0236817210165736
Malaysia,25308.019304820402,30331007.0,0.045599999999999995,0.74705,0.255594,0.3924174,0.1471422500216373,0.05773081708127114
Maldives,11892.458822608301,409163.0,0.0649,0.45536,,,0.031145207668181806,0.016503814270041425
Mali,2285.30721649845,17599694.0,0.0797,0.39915999999999996,0.008713539,0.04243126,0.024631705730870018,0.05299713321707195
Malta,28821.6584239513,431333.0,,0.9540700000000001,0.2980542,0.5080592,,
Marshall Islands,3627.8461155319396,52993.0,,0.7268399999999999,,,,
Mauritania,3693.5420412279705,4067564.0,0.0638,0.59859,0.03751141,0.15244010000000002,,
Mauritius,18333.420203351598,1262605.0,0.0742,0.39671,0.23197389999999998,0.4367753,0.39938854177125355,0.3280153837505936
Mexico,16501.9411019056,127017224.0,0.048600000000000004,0.79246,0.07032508,0.1956048,0.5165315399168229,0.26416872128964153
"Micronesia, Fed. Sts.",3177.39257923174,104460.0,0.016200000000000003,0.22424,,,0.4911367616883895,0.13340977833450512
Middle East & North Africa,17633.650639184398,424065257.0,,0.642182801509745,,,,
Middle East & North Africa (IDA & IBRD countries),11660.8148771503,358138798.0,,0.6032822776717139,,,,
Middle East & North Africa (excluding high income),11571.1127218752,362560941.0,,0.6051025249032821,,,,
Middle income,10103.6797845928,5477740153.37425,,0.504584194214143,0.1608289,0.29504690000000006,,
Moldova,4741.82460255015,3554150.0,0.09140000000000001,0.44994999999999996,0.03550953,0.09047662,0.48044889618049574,0.35776645858817685
Monaco,,37731.0,,1.0,,,,
Mongolia,11470.904857388301,2959134.0,0.0765,0.7204,0.21726670000000003,0.4111103,0.43289215379153706,0.21401477649655312
Montenegro,15010.4849682597,622388.0,0.0712,0.64026,0.02831399,0.07029511999999999,0.32631167767132524,0.3342241905444773
Morocco,7360.85645686603,34377511.0,0.0654,0.60195,0.051415930000000006,0.1725484,,
Mozambique,1115.99270694655,27977863.0,0.052199999999999996,0.32214,,,0.22864661567112732,0.07690921448117116
Myanmar,,53897154.0,,0.34098,0.06761485,0.1680227,,
Namibia,9800.77994661223,2458830.0,0.0327,0.46659999999999996,0.14453729999999998,0.3485483,,
Nauru,,10222.0,,1.0,,,,
Nepal,2313.3927780006898,28513700.0,0.0834,0.18614999999999998,0.08169342,0.22368110000000002,0.195768863335373,0.3588076303844344
Netherlands,46374.3682664594,16936520.0,0.08869999999999999,0.9049600000000001,0.485505,0.6671163,,
New Caledonia,,273000.0,,0.7021,,,,
New Zealand,34762.3523220989,4595700.0,,0.8628399999999999,0.5940498000000001,0.7801831,,
Nicaragua,4884.15076072929,6082032.0,0.0464,0.5877899999999999,0.02887823,0.1150786,0.2150240827360311,0.1290875748090859
Niger,897.395320524357,19899120.0,0.08929999999999999,0.18732,0.017845970000000003,0.02122553,0.05921709568758075,0.06195777077582977
Nigeria,5638.88737884687,182201962.0,0.0537,0.47776,0.19702950000000002,0.3224891,0.002057508900952456,0.011572110972991134
North America,51580.0655668247,357335829.0,,0.816415257782952,,,,
Northern Mariana Islands,,55070.0,,0.8923700000000001,,,,
Norway,64450.5386116153,5195921.0,0.09300000000000001,0.80473,0.7495815,0.8089856999999999,,
OECD members,37657.942642134505,1280996600.0,,0.802736836329214,,,,
Oman,35982.7532483736,4490541.0,,0.77641,0.145017,0.2770396,,
Other small states,23533.8932699481,28650005.0,,0.5810468182602411,,,,
Pacific island small states,5346.845308221989,2351091.0,,0.37739880811078796,,,,
Pakistan,4744.848616652221,188924874.0,0.0959,0.38758000000000004,0.01694613,0.043810209999999995,0.07118290614785897,0.13677639250650758
Palau,14385.9688063672,21291.0,,0.87071,,,0.14801150969645407,0.10637442990521595
Panama,20885.3394472478,3929141.0,0.0338,0.66592,0.14831640000000001,0.2403679,0.19442471509398124,0.11430158362854981
Papua New Guinea,2723.49309513476,7619321.0,0.047400000000000005,0.13005,,,0.004448386849634145,0.0013822475264634651
Paraguay,8643.68763275612,6639123.0,0.0426,0.5966600000000001,0.02127697,0.14778729999999998,0.2533582430701873,0.14654954376625337
Peru,11672.1423451017,31376670.0,0.0443,0.78609,0.05837516,0.1674962,0.17067789283365783,0.20147588955748694
Philippines,6925.52132355094,100699395.0,0.0592,0.44373000000000007,0.04855937,0.2163384,0.1881751680446434,0.22829866771306767
Poland,24835.898044418398,37999494.0,0.0803,0.60539,0.09776094,0.282444,0.5766165423176673,0.3946498977069835
Portugal,26690.0648211574,10348648.0,0.0645,0.63468,0.160451,0.3085544,,
Post-demographic dividend,40589.0400105361,1097737383.0,,0.8097085963254109,,,,
Pre-demographic dividend,3447.67647966178,850271023.0,,0.3859497938632679,,,,
Puerto Rico,33843.6052436546,3474182.0,,0.9359999999999999,0.13116229999999998,0.30437109999999995,,
Qatar,135321.69223267402,2235355.0,,0.99244,0.181152,0.32098259999999995,,
Romania,19925.5385547787,19832389.0,0.0891,0.5456399999999999,0.05571223000000001,0.1842659,0.44718513049652964,0.40619177704967696
Russian Federation,23895.3410009156,144096812.0,0.059000000000000004,0.74008,0.11406239999999998,0.1823601,,
Rwanda,1655.17535545677,11609666.0,0.0513,0.28811,0.06397243000000001,0.3914391,0.07451404924171061,0.07678145748333853
Samoa,5574.06771103897,193228.0,0.0632,0.19097999999999998,,,0.22766987331164204,0.14591698846875145
San Marino,,31781.0,,0.9419,,,,
Sao Tome and Principe,3030.21716153828,190344.0,0.08380000000000001,0.6509199999999999,,,,
Saudi Arabia,50283.973487146104,31540372.0,,0.8312999999999999,0.08897133,0.2052709,,
Senegal,2287.66844827349,15129273.0,0.060599999999999994,0.43721000000000004,0.008773695,0.1060924,0.11367795298178585,0.21771700590819676
Serbia,12863.0793054276,7098247.0,0.0837,0.5555300000000001,0.0419454,0.1149804,0.4593668720166495,0.3624857509688709
Seychelles,25667.554051987798,92900.0,0.057999999999999996,0.53887,,,,
Sierra Leone,1496.94416821363,6453184.0,0.0791,0.39942,0.03622707,0.1585936,0.02410150585142099,0.030431464202948053
Singapore,80191.53930832019,5535002.0,,1.0,0.4292485,0.4872643,,
Sint Maarten (Dutch part),36327.231898891805,38817.0,,1.0,,,,
Slovak Republic,27394.197381682403,5424050.0,0.0862,0.53598,0.3311596,0.5120568,0.32228808471304815,0.2523005022651217
Slovenia,28941.865861925802,2063768.0,0.0943,0.4965,0.2409204,0.3861343,,
Small states,20762.6823664852,38050062.0,,0.5389489269226421,,,,
Solomon Islands,2057.5557074286803,583591.0,0.049699999999999994,0.22329000000000002,,,0.05708569558230865,0.06716642587160629
Somalia,,10787104.0,,0.39551000000000003,0.003747235,0.04457126000000001,,
South Africa,12389.9568144333,54956920.3742456,0.024700000000000003,0.64801,0.2110501,0.4081099,0.7327359555846154,0.15425549756489032
South Asia,5321.4373769209005,1744161298.0,,0.330282153058467,0.0667721,0.1664882,,
South Asia (IDA & IBRD),5321.4373769209005,1744161298.0,,0.330282153058467,,,,
South Sudan,1741.0981138204502,12339812.0,,0.18804,,,,
Spain,32814.452074101,46418269.0,0.0576,0.7957899999999999,0.35595620000000006,0.5667167,,
Sri Lanka,11047.666972348301,20966000.0,0.0727,0.18355999999999997,0.2143086,0.3952670999999999,0.07117910449185014,0.08948611652373328
St. Kitts and Nevis,22934.4604866752,55572.0,,0.32047,,,,
St. Lucia,10343.564247889699,184999.0,,0.18504,,,,
St. Martin (French part),,31754.0,,,,,,
St. Vincent and the Grenadines,10379.0865081174,109462.0,,0.5055,,,,
Sub-Saharan Africa,3477.2834760032697,1000980981.37425,,0.37739362079969097,,,,
Sub-Saharan Africa (IDA & IBRD countries),3477.2834760032697,1000980981.37425,,0.37739362079969097,,,,
Sub-Saharan Africa (excluding high income),3475.22405890364,1000888081.37425,,0.37737863295449,,,,
Sudan,3927.4882937711104,40234882.0,0.0682,0.33805999999999997,0.03672906,0.1002178,,
Suriname,15970.3432827522,542975.0,,0.6604300000000001,,,,
Swaziland,7930.358126322791,1286970.0,0.04,0.21308000000000005,0.09158991,0.2348936,,
Sweden,45296.4561784546,9798871.0,0.087,0.85815,0.6662127999999999,0.8096492,,
Switzerland,55111.9769299413,8286976.0,0.0809,0.7391199999999999,0.46041340000000003,0.6177222,,
Syrian Arab Republic,4959.392523364486,18502413.0,0.0765,0.5765600000000001,0.04674114,0.053670739999999995,0.0449077463751928,0.12255292524153776
Tajikistan,2616.19127204999,8481855.0,0.08349999999999999,0.26781999999999995,0.006333107,0.021255919999999998,,
Tanzania,2510.23505743998,53470420.0,0.0737,0.31608,0.04258187,0.12170310000000001,0.145171981438773,0.07101360955368942
Thailand,15345.3555945409,67959359.0,0.0665,0.50374,0.3132831,0.46914110000000003,0.30352556178219825,0.2695253562884277
Timor-Leste,2126.0436897619297,1245015.0,0.08990000000000001,0.32770000000000005,,,0.008066780168074213,0.07208228804106125
Togo,1373.84086960653,7304578.0,0.0483,0.39964,0.03249362,0.08989002000000001,,
Tonga,4971.515216123161,106170.0,0.0658,0.23712,,,0.0330337194329933,
Trinidad and Tobago,30677.1645124544,1360088.0,,0.08445,0.428774,0.45466229999999996,,
Tunisia,10726.142315035,11107800.0,0.0673,0.66842,0.046129760000000006,0.1407694,,
Turkey,18958.6249800275,78665830.0,0.057999999999999996,0.7339699999999999,0.04858122,0.1221136,0.2914336039117214,0.20395487194075962
Turkmenistan,15527.403931005701,5373502.0,,0.50037,0.0,0.010888309999999998,,
Turks and Caicos Islands,,34339.0,,0.9218600000000001,,,,
Tuvalu,3592.18154382581,9916.0,,0.59717,,,,
Uganda,1717.8292061824402,39032383.0,0.0608,0.16101,0.06975457,0.23384429999999998,0.06807252486519175,0.10572498882333774
Ukraine,7449.767985374741,45198200.0,0.1027,0.69695,0.03185545,0.1091335,0.5823882631214791,0.3852444833522442
United Arab Emirates,66102.1917675176,9156963.0,,0.85541,0.245883,0.37138129999999997,,
United Kingdom,38657.7882730855,65138232.0,0.0751,0.8259200000000001,0.36570890000000006,0.6278858,,
United States,52549.0065190667,321418820.0,0.051,0.8161700000000001,0.3883319,0.6432125000000001,,
Upper middle income,14812.920601843898,2550326055.37425,,0.636516180029781,0.230716,0.384352,,
Uruguay,19952.2532471933,3431555.0,0.051399999999999994,0.9531100000000001,0.0528978,0.17571460000000003,0.6301863446405656,0.3778652067178794
Uzbekistan,5642.82357778589,31299500.0,0.0742,0.36365000000000003,0.008141437999999999,0.025224540000000004,,
Vanuatu,2891.21950326265,264652.0,0.067,0.26128,,,,
"Venezuela, RB",15602.8923660177,31108083.0,0.0318,0.8898999999999999,0.1876162,0.2550486,,
Vietnam,5667.99805141727,91703800.0,0.0652,0.33593000000000006,0.09144978999999999,0.18475560000000002,0.06426081465899935,0.15717147787750502
Virgin Islands (U.S.),,103574.0,,0.9533499999999999,,,,
West Bank and Gaza,4714.924620824229,4422143.0,0.0771,0.75252,0.01446696,0.07598995,0.25398332836594356,0.02966014560020321
World,14602.261916953601,7346633037.37425,,0.538572382684615,0.19189150000000002,0.3292653,,
"Yemen, Rep.",3663.3078294712395,26832215.0,0.0782,0.34606000000000003,0.000864128,0.01403569,0.10970581006083205,0.07832728932803425
Zambia,3625.8064259440293,16211767.0,0.0381,0.40922,0.05518930999999999,0.24588529999999997,0.14486472453515187,0.08702799925219307
Zimbabwe,1687.97602466078,15602751.0,,0.32376,0.008329735,0.08131872,0.10160667641760676,0.1085096443943145
